hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,name,email,phone-number,credit_card,reservation_status_date
City Hotel,1,224,2017,June,26,25,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,2.0,179.0,0,Transient,75.63,0,0,Canceled,Allison Hill,silvapreston@example.org,001-211-370-0524x59609,4230468017979821871,2024-06-17
Resort Hotel,0,85,2017,July,28,11,0,6,2,0.0,0,FB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,85.0,179.0,0,Transient,51.52,0,0,Check-Out,Noah Rhodes,kathleenellis@example.com,(271)472-0984,3528681187088632,2025-08-09
City Hotel,0,14,2017,June,26,26,0,1,1,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,179.0,0,Transient,108.36,0,0,Check-Out,Angie Henderson,jeffrey20@example.com,909.343.1521x199,374361486083961,2026-01-03
City Hotel,1,46,2017,November,45,7,0,3,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11.0,179.0,0,Transient,97.7,0,1,Canceled,Daniel Wagner,cbradley@example.org,886.625.6156x3688,4200728237167,2024-04-04
City Hotel,1,43,2017,April,14,3,1,2,2,1.0,0,BB,NOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10.0,179.0,0,Transient,230.81,0,0,Canceled,Cristian Santos,rhonda97@example.org,+1-565-804-5696x06285,2698075972440452,2024-06-29
City Hotel,1,141,2017,February,7,17,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,8.0,179.0,0,Transient,131.35,0,0,Canceled,Connie Lawrence,michael79@example.org,001-774-692-8187x11363,4165673177207,2024-05-06
Resort Hotel,0,57,2017,April,15,10,4,5,2,1.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,247.0,179.0,0,Transient,151.12,0,1,Check-Out,Abigail Shaffer,kaylaburns@example.org,813.631.1270,6011446363438994,2025-12-16
City Hotel,0,1,2017,January,4,22,1,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,G,2,No Deposit,12.0,179.0,0,Transient,131.76,1,2,Check-Out,Gina Moore,wilsonmatthew@example.net,547-283-9904x97910,4243917740277481664,2025-04-30
City Hotel,1,168,2017,April,16,20,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,179.0,0,Transient,128.56,0,0,Canceled,Gabrielle Davis,basssteven@example.com,001-933-879-9161x8502,2262796022901195,2025-06-08
Resort Hotel,0,2,2017,November,48,25,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,241.0,179.0,0,Transient,50.15,0,1,Check-Out,Ryan Munoz,colleenwhite@example.com,806.344.0930x577,3503315045184106,2025-05-14
